model,label,precision,recall,f1-score,support
Random Forest,Analysis,0.028768699654775604,0.03692762186115214,0.03234152652005175,677.0
Random Forest,Backdoor,0.030612244897959183,0.23156089193825044,0.05407570598838374,583.0
Random Forest,DoS,0.30023403543965227,0.21961359745659084,0.2536723163841808,4089.0
Random Forest,Exploits,0.7917974471646788,0.6798418972332015,0.7315611406476559,11132.0
Random Forest,Fuzzers,0.8089542036910458,0.7809303860112174,0.7946953164344469,6062.0
Random Forest,Generic,0.9992872416250891,0.9658205712468868,0.9822689302074913,18871.0
Random Forest,Reconnaissance,0.9349291975724882,0.7931922196796338,0.858248220365212,3496.0
Random Forest,Shellcode,0.5905707196029777,0.6296296296296297,0.6094750320102432,378.0
Random Forest,accuracy,0.7639330506977566,0.7639330506977566,0.7639330506977566,0.7639330506977566
Random Forest,macro avg,0.5606442237060834,0.5421896018820704,0.5395422735697082,45288.0
Random Forest,weighted avg,0.824334208342105,0.7639330506977566,0.7909177574655044,45288.0
LightGBM,Analysis,0.06264501160092807,0.07976366322008863,0.07017543859649122,677.0
LightGBM,Backdoor,0.0363232023721275,0.08404802744425385,0.050724637681159424,583.0
LightGBM,DoS,0.5586666666666666,0.1024700415749572,0.17317627609010125,4089.0
LightGBM,Exploits,0.6339185901229697,0.8659719726913403,0.7319943809559968,11132.0
LightGBM,Fuzzers,0.8840809845176657,0.7347410095677994,0.8025225225225225,6062.0
LightGBM,Generic,0.9982583138300768,0.9719145779237984,0.9849103211255504,18871.0
LightGBM,Reconnaissance,0.928547909120843,0.8066361556064073,0.8633093525179856,3496.0
LightGBM,Shellcode,0.4494047619047619,0.798941798941799,0.5752380952380952,378.0
LightGBM,accuracy,0.7966569510687158,0.7966569510687158,0.7966569510687158,0.7966569510687158
LightGBM,macro avg,0.568980680017005,0.5555609058713056,0.5315063780909879,45288.0
LightGBM,weighted avg,0.8173968138095216,0.7966569510687158,0.786532065344621,45288.0
XGBoost,Analysis,0.0665024630541872,0.07976366322008863,0.0725319006044325,677.0
XGBoost,Backdoor,0.040444091990483745,0.08747855917667238,0.055314533622559656,583.0
XGBoost,DoS,0.5720338983050848,0.09904622157006603,0.16885553470919323,4089.0
XGBoost,Exploits,0.6180573008293541,0.8836687028386633,0.7273735581188997,11132.0
XGBoost,Fuzzers,0.9402197802197803,0.7057076872319367,0.8062570674707877,6062.0
XGBoost,Generic,0.9985821017614659,0.9703248370515606,0.9842506987744571,18871.0
XGBoost,Reconnaissance,0.9331789612967251,0.8069221967963387,0.8654701641356036,3496.0
XGBoost,Shellcode,0.42731277533039647,0.7698412698412699,0.5495750708215298,378.0
XGBoost,accuracy,0.7959724430312666,0.7959724430312666,0.7959724430312666,0.7959724430312666
XGBoost,macro avg,0.5745414215984347,0.5503441422158245,0.5287035660321829,45288.0
XGBoost,weighted avg,0.8226381068698367,0.7959724430312666,0.7852780769825547,45288.0
