model_key,display_name,selection_scheme,target_fpr_val_requested,target_fpr_val_matched,selected_threshold_from_val,val_f1,val_fpr,test_f1,test_fpr,val_pr_auc,val_roc_auc,test_pr_auc,test_roc_auc
lgbm_main,LightGBM Main,target_fpr_from_val_table,0.005,0.005,0.9502581881638772,0.9300951315053162,0.005,0.9320435252708827,0.0294864864864864,0.9976333806599027,0.9950126160118874,0.9880596634735025,0.983763599962797
xgboost_tuned,XGBoost Tuned,nearest_val_fpr_from_threshold_sweep,0.005,0.0034821428571428,0.95,0.920441189765844,0.0034821428571428,0.9302222429732,0.0133243243243243,0.9973108434448187,0.9943319449104558,0.9892409646276205,0.9853872790773656
xgboost_baseline,XGBoost Baseline,nearest_val_fpr_from_threshold_sweep,0.005,0.0027678571428571,0.95,0.914744187103666,0.0027678571428571,0.9270503157944168,0.0098918918918918,0.9970201522418005,0.9937370918987903,0.989067876375929,0.9851901487762359
rf_baseline,Random Forest Baseline,target_fpr_from_val_table,0.005,0.005,0.9305083363534802,0.9200560375994216,0.0048214285714285,0.9082734239684912,0.0184054054054054,0.9970951111219751,0.9939811138039916,0.9842289519331174,0.9805495473634755
rf_tuned,Random Forest Tuned,target_fpr_from_val_table,0.005,0.005,0.9359117135759634,0.9177744061233272,0.0046428571428571,0.9059639851941776,0.017,0.9969760235487013,0.993864856636569,0.9837913610218422,0.9804363935982218
logreg_tuned,Logistic Regression Tuned,target_fpr_from_val_table,0.005,0.005,0.8911336084267764,0.8295418370595293,0.005,0.8353479338631775,0.0065405405405405,0.9915399406517726,0.9838249227835663,0.9653641154511642,0.954129816417494
logreg_baseline,Logistic Regression Baseline,target_fpr_from_val_table,0.005,0.005,0.8927151569350331,0.8263517163482788,0.005,0.8334527954126562,0.0064324324324324,0.9914289444157308,0.9835952844051262,0.9649148995506075,0.9534451708834043
xgboost_tuned,XGBoost Tuned,nearest_val_fpr_from_threshold_sweep,0.01,0.0077678571428571,0.9,0.9361134575201172,0.0077678571428571,0.9377181116504304,0.0376486486486486,0.9973108434448187,0.9943319449104558,0.9892409646276205,0.9853872790773656
xgboost_baseline,XGBoost Baseline,nearest_val_fpr_from_threshold_sweep,0.01,0.0083928571428571,0.9,0.9314554828917706,0.0083928571428571,0.935455774828669,0.030081081081081,0.9970201522418005,0.9937370918987903,0.989067876375929,0.9851901487762359
lgbm_main,LightGBM Main,target_fpr_from_val_table,0.01,0.01,0.8886453947612896,0.944597422623637,0.01,0.9350963422416784,0.0601351351351351,0.9976333806599027,0.9950126160118874,0.9880596634735025,0.983763599962797
rf_baseline,Random Forest Baseline,target_fpr_from_val_table,0.01,0.01,0.8812875540783742,0.936916147069918,0.01,0.9236236501017816,0.0395675675675675,0.9970951111219751,0.9939811138039916,0.9842289519331174,0.9805495473634755
rf_tuned,Random Forest Tuned,target_fpr_from_val_table,0.01,0.01,0.8865948361965641,0.9350614703986128,0.0096428571428571,0.9225912013458392,0.0383783783783783,0.9969760235487013,0.993864856636569,0.9837913610218422,0.9804363935982218
logreg_baseline,Logistic Regression Baseline,target_fpr_from_val_table,0.01,0.01,0.7886630592548997,0.8720423778693349,0.01,0.8657563179998526,0.023,0.9914289444157308,0.9835952844051262,0.9649148995506075,0.9534451708834043
logreg_tuned,Logistic Regression Tuned,target_fpr_from_val_table,0.01,0.01,0.7934099365953343,0.8702603282399547,0.01,0.8654113421968588,0.0214324324324324,0.9915399406517726,0.9838249227835663,0.9653641154511642,0.954129816417494
xgboost_tuned,XGBoost Tuned,nearest_val_fpr_from_threshold_sweep,0.02,0.019375,0.8,0.9527747551686616,0.019375,0.9349715247641638,0.0914594594594594,0.9973108434448187,0.9943319449104558,0.9892409646276205,0.9853872790773656
xgboost_baseline,XGBoost Baseline,nearest_val_fpr_from_threshold_sweep,0.02,0.020625,0.8,0.9493759273806408,0.020625,0.9346698243101834,0.0817837837837837,0.9970201522418005,0.9937370918987903,0.989067876375929,0.9851901487762359
lgbm_main,LightGBM Main,target_fpr_from_val_table,0.02,0.02,0.7620410133956963,0.9593548666061312,0.02,0.9299604571800012,0.1095405405405405,0.9976333806599027,0.9950126160118874,0.9880596634735025,0.983763599962797
rf_tuned,Random Forest Tuned,target_fpr_from_val_table,0.02,0.02,0.8000799213851026,0.9535611792329768,0.0199107142857142,0.9271731660274458,0.0827027027027027,0.9969760235487013,0.993864856636569,0.9837913610218422,0.9804363935982218
rf_baseline,Random Forest Baseline,target_fpr_from_val_table,0.02,0.02,0.8035755321513007,0.953308831524694,0.0198214285714285,0.9269918139307572,0.0802702702702702,0.9970951111219751,0.9939811138039916,0.9842289519331174,0.9805495473634755
logreg_tuned,Logistic Regression Tuned,target_fpr_from_val_table,0.02,0.02,0.7396314011299828,0.8946147663336778,0.02,0.876735160360961,0.0498378378378378,0.9915399406517726,0.9838249227835663,0.9653641154511642,0.954129816417494
logreg_baseline,Logistic Regression Baseline,target_fpr_from_val_table,0.02,0.02,0.7362295068256781,0.8950207754642915,0.02,0.8759988584474886,0.0521621621621621,0.9914289444157308,0.9835952844051262,0.9649148995506075,0.9534451708834043
